subject,group,spatial_frequency,high_contrast_beta,low_contrast_beta,percent_signal_change,raw_difference
219,control,high,273.6761923383224,109.11816931913546,85.97724496602753,164.55802301918692
219,control,low,88.66235674019909,84.65490766538885,4.624408409115226,4.007449074810239
220,control,high,214.12611700476182,86.92449852849474,84.50513761677749,127.20161847626709
220,control,low,72.54430578445695,46.65970692094292,43.42907302539402,25.884598863514036
221,control,high,176.22303412146587,83.03451302619007,71.88876244532375,93.1885210952758
221,control,low,69.20835429764143,57.34921130530536,18.74110478632649,11.859142992336075
222,control,high,169.97411989315725,59.70215839436765,96.0238143189898,110.27196149878961
222,control,low,66.88839350579926,67.9764256516268,-1.6135151518758852,-1.0880321458275404
223,control,high,211.54505836886526,57.63804884884316,114.3511649826867,153.9070095200221
223,control,low,90.49116049701449,79.96780303130292,12.347086064457248,10.52335746571157
224,control,high,270.42981638060144,56.32804829094071,131.04613001733034,214.10176808966074
224,control,low,116.08543561340359,53.73399573119896,73.43263298965978,62.35143988220463
225,control,high,124.59249461041635,75.10147955315432,49.566858754309344,49.49101505726203
225,control,low,67.6868963001221,48.29404782329155,33.44143923538836,19.39284847683055
226,control,high,213.8071573004386,41.43190102309415,135.06965384494342,172.37525627734445
226,control,low,79.69543812434786,23.66555999450535,108.41589990339415,56.02987812984251
227,control,high,183.38355955084154,78.65080684171707,79.93818074398865,104.73275270912447
227,control,low,91.95711066372105,53.80907872428866,52.34139974378769,38.14803193943239
228,control,high,222.04797114924838,128.0226414188364,53.7179222446872,94.02532973041198
228,control,low,109.25938836549997,71.87868689571683,41.273157414173625,37.38070146978315
229,control,high,181.60944868128257,102.41665066551678,55.76445136407722,79.19279801576579
229,control,low,93.72441154046356,63.24726009534578,38.83140330674181,30.477151445117784
230,control,high,167.7142757620581,79.49437150633042,71.37283038481209,88.21990425572767
230,control,low,95.34124217011089,36.57957837773998,89.0862618172643,58.76166379237091
