Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s)
9,7,Condition 1,False,,181.55355290100033,181.95540442000038
9,8,Condition 1,False,,182.169605521,182.5714894280004
9,9,Condition 1,True,183.2508113060003,182.7820320830001,183.1837281080002
9,10,Condition 1,False,,183.39104724200024,183.79311835600038
9,11,Condition 1,False,,184.00175635699998,184.40317237099998
9,12,Condition 1,False,,184.61119892800025,185.0137363470003
9,13,Condition 1,False,,185.22218713600023,185.6239606930003
9,14,Condition 1,False,,185.83588637900039,186.2376317840003
9,15,Condition 1,False,,186.446346361,186.84838339500038
9,16,Condition 1,False,,187.05567362400006,187.45756266900025
9,17,Condition 1,True,,187.66676299200026,188.06862694300025
9,18,Condition 1,False,188.27976280500025,188.2813428540003,188.68322926400015
9,19,Condition 1,False,,188.8922838100002,189.2947347420004
9,20,Condition 1,False,,189.50249262200032,189.90430395300018
10,1,Condition 3,False,,200.1158843750004,200.51815619000035
10,2,Condition 3,False,,200.72548022299998,201.12820086600004
10,3,Condition 3,False,,201.3381948580004,201.74003524
10,4,Condition 3,False,,201.94799399300018,202.34979519300032
10,5,Condition 3,False,,202.55827656200017,202.96009514100024
10,6,Condition 3,True,203.61162719000004,203.170545641,203.57187758300006
10,7,Condition 3,False,,203.78093459900037,204.18277315700016
10,8,Condition 3,False,,204.39052226700005,204.79197350700042
10,9,Condition 3,False,,205.0003542960003,205.40221323800006
10,10,Condition 3,True,206.0305606490001,205.61287098399998,206.01532331100043
10,11,Condition 3,False,,206.2238618450001,206.62648469400028
10,12,Condition 3,False,,206.83646633700027,207.23809826100023
10,13,Condition 3,False,,207.44729610000013,207.84900762900043
10,14,Condition 3,False,,208.05725466600006,208.45897757600005
10,15,Condition 3,True,209.1045799870003,208.67069748300037,209.0724071310001
10,16,Condition 3,False,,209.2797268410004,209.68223202900026
10,17,Condition 3,False,,209.8913499490004,210.29400037300002
10,18,Condition 3,False,,210.50142238100034,210.90322513
10,19,Condition 3,False,,211.11324748300012,211.5151685650003
10,20,Condition 3,False,,211.72253600000022,212.12454539700002
11,1,Condition 2,False,,222.33656587500036,222.73832534700023
11,2,Condition 2,False,,222.94674754100015,223.35022031800008
11,3,Condition 2,False,,223.55880547100014,223.96300856900007
11,4,Condition 2,False,,224.17071273500005,224.5724336940002
11,5,Condition 2,False,,224.78063854300035,225.18298255300033
11,6,Condition 2,False,,225.3903410070002,225.7923286070004
11,7,Condition 2,False,,226.00131049200036,226.4031483900003
11,8,Condition 2,False,,226.6107747660003,227.0138648950001
11,9,Condition 2,False,,227.22199619100002,227.62368725100032
11,10,Condition 2,False,,227.83432755500007,228.23607887300022
11,11,Condition 2,True,,228.4453407660003,228.84689183900036
11,12,Condition 2,False,228.96011706000036,229.05483041700018,229.4566976320002
11,13,Condition 2,False,,229.6658642550001,230.06711036200022
11,14,Condition 2,True,230.7599069380003,230.2753528510002,230.6772845180003
11,15,Condition 2,False,,230.88517500200032,231.28687412700037
11,16,Condition 2,True,231.93434293400014,231.49507113400023,231.89846727700024
11,17,Condition 2,False,,232.10793647500032,232.50956128500002
11,18,Condition 2,False,,232.71683603500014,233.11864172600008
11,19,Condition 2,False,,233.32768400500026,233.73118419500042
11,20,Condition 2,False,,233.93852144100038,234.34064055800036
12,1,Condition 4,False,,244.55218571900014,244.95371099400018
12,2,Condition 4,False,,245.16407339900024,245.56604860700008
12,3,Condition 4,False,,245.77464462600028,246.17655256200032
12,4,Condition 4,True,,246.3885982290003,246.79006171200035
12,5,Condition 4,False,,246.99897717700014,247.40063281200037
12,6,Condition 4,False,,247.60850916900017,248.01038077300018
12,7,Condition 4,False,,248.21916359700026,248.62090472800037
12,8,Condition 4,False,,248.83516390600016,249.23698226600027
12,9,Condition 4,False,,249.449578147,249.85080439700005
12,10,Condition 4,False,,250.05830320300038,250.460707662
12,11,Condition 4,False,,250.67141413100035,251.07315841900026
12,12,Condition 4,False,,251.2824637360004,251.68392909600016
12,13,Condition 4,False,,251.8927578920002,252.29545279600006
12,14,Condition 4,False,,252.50257155200006,252.90430372100036
12,15,Condition 4,False,,253.11451660600005,253.51617111800033
12,16,Condition 4,False,,253.72356316200012,254.12554416600005
12,17,Condition 4,True,254.80220958400014,254.3349602770004,254.7364298440002
12,18,Condition 4,False,,254.94934034000016,255.35111554200012
12,19,Condition 4,False,,255.560341377,255.96205159800002
12,20,Condition 4,False,,256.1694551530004,256.5714354370002
13,1,Condition 1,False,,266.78316871100014,267.18524473900015
13,2,Condition 1,False,,267.39382305100025,267.79905641700043
13,3,Condition 1,True,268.43575827600034,268.0091671240002,268.41160691100004
13,4,Condition 1,False,,268.618928716,269.02094086800025
13,5,Condition 1,False,,269.2331621210001,269.6345127980003
13,6,Condition 1,False,,269.8422346880002,270.24741281100023
13,7,Condition 1,False,,270.456201167,270.8575927060001
13,8,Condition 1,False,,271.065917378,271.46774299200024
13,9,Condition 1,True,272.1390856720004,271.6764907460001,272.0806854030002
13,10,Condition 1,False,,272.28841145100023,272.69018385100026
13,11,Condition 1,False,,272.90124191700033,273.30307759900006
13,12,Condition 1,False,,273.51197816900003,273.9138695290003
13,13,Condition 1,False,,274.122535944,274.5248060460003
13,14,Condition 1,False,,274.7336614980004,275.1355163600001
13,15,Condition 1,False,,275.3448652100001,275.74924488000033
13,16,Condition 1,False,,275.9581357230004,276.36001809300024
13,17,Condition 1,False,,276.5689155140003,276.9708065750001
13,18,Condition 1,False,,277.1795568130001,277.5815405110002
13,19,Condition 1,False,,277.7904583510003,278.1921638660001
13,20,Condition 1,True,278.8521857550004,278.39988008900036,278.8016327360001
14,1,Condition 2,False,,289.01338594200024,289.41544184400027
14,2,Condition 2,False,,289.62277952700015,290.02475785100023
14,3,Condition 2,False,,290.2333960110004,290.6352088430003
14,4,Condition 2,False,,290.84288610600015,291.2473446500003
14,5,Condition 2,False,,291.4569294170001,291.8590652510002
14,6,Condition 2,False,,292.0670909160003,292.46891933100005
14,7,Condition 2,False,,292.6790991130001,293.0809002590004
14,8,Condition 2,False,,293.288572123,293.6900615990003
14,9,Condition 2,False,,293.9008748230003,294.30273798200005
14,10,Condition 2,False,,294.5118221690004,294.9134152460001
14,11,Condition 2,False,,295.12228533200005,295.52452473400035
14,12,Condition 2,False,,295.7331395150004,296.134613016
14,13,Condition 2,False,,296.3437285330001,296.746028819
14,14,Condition 2,False,,296.95387520400027,297.35535276300016
14,15,Condition 2,False,,297.566884929,297.9686115620002
14,16,Condition 2,False,,298.17735173500023,298.5795095020003
14,17,Condition 2,False,,298.788221798,299.190464798
14,18,Condition 2,False,,299.402508658,299.8049007880004
14,19,Condition 2,True,,300.017953822,300.4198963400004
14,20,Condition 2,False,300.53951299100027,300.6281818870002,301.03004543900033
15,1,Condition 4,False,,311.242610366,311.6442380760004
15,2,Condition 4,True,,311.853482557,312.2553624100001
15,3,Condition 4,False,,312.4674459810003,312.86920141400014
15,4,Condition 4,False,,313.0767060070002,313.48176553500025
15,5,Condition 4,False,,313.69096604800006,314.09278741100024
